Galaxy Ace 3,GT-S7270,BRITaiwan,S7270ZSUAMH2,4.2.2,20.08.2013,980503,Unlock,BRI-S7270ZSUAMH2-20130829163333.zip,http://hotfile.com/dl/242266613/fc1491a/BRI-S7270ZSUAMH2-20130829163333.zip.html,00147
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/ami_sensor,,,,0666,system,system,O,O,,,,
/dev/bcm_isp,,,,0660,system,camera,O,,,,,
/dev/bcm_unicam,,,,0660,system,camera,O,,,,,
/dev/block/mmcblk0p1,,,,0770,radio,system,O,,,,,
/dev/block/mmcblk0p11,,,,0660,system,root,O,,,,,
/dev/block/mtdblock5,,,,0660,radio,radio,O,,,,,
/dev/brcm_h264,,,,0660,media,media,O,,,,,
/dev/graphics/fb0,,,,0666,system,graphics,O,O,,,,
/dev/hidraw*,,,,0660,root,system,O,,,,,
/dev/i2c-0,,,,0660,system,camera,O,,,,,
/dev/i2c-1,,,,0660,system,camera,O,,,,,
/dev/i2c-2,,,,0660,system,camera,O,,,,,
/dev/ion,,,,0666,system,graphics,O,O,,,,
/dev/mm_h264,,,,0660,media,media,O,,,,,
/dev/mm_interlock,,,,0666,system,graphics,O,O,,,,
/dev/mm_isp,,,,0660,system,camera,O,,,,,
/dev/mm_v3d,,,,0666,system,graphics,O,O,,,,
/dev/modem_ctl,,,,0660,radio,radio,O,,,,,
/dev/modem_fmt,,,,0660,radio,radio,O,,,,,
/dev/modem_rfs,,,,0660,radio,radio,O,,,,,
/dev/mtd/mtd5ro,,,,0660,radio,radio,O,,,,,
/dev/pvrsrvkm,,,,0666,system,system,O,O,,,,
/dev/s3c-jpg,,,,0660,system,camera,O,,,,,
/dev/s3c-mem,,,,0660,system,system,O,,,,,
/dev/s3c-mfc,,,,0660,system,graphics,O,,,,,
/dev/s3c2410_serial1,,,,0600,gps,gps,O,,,,,
/dev/s3c2410_serial3,,,,0660,radio,radio,O,,,,,
/dev/v3d,,,,0666,system,graphics,O,O,,,,
/dev/vce,,,,0660,system,graphics,O,,,,,
/dev/video0,,,,0660,system,camera,O,,,,,
/dev/video1,,,,0660,system,camera,O,,,,,
/dev/video2,,,,0660,system,camera,O,,,,,
