Galaxy Tab 3 7.0 (WiFi+3G),SM-T211,BRITaiwan,T211ZSAMH1,4.1.2,19.08.2013,1362657,Unlock,BRI-T211ZSAMH1-20130822163303.zip,http://hotfile.com/dl/241857366/1ff2e71/BRI-T211ZSAMH1-20130822163303.zip.html,00222
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/alarm-poweroff,,,,0444,system,system,O,,,,,
/dev/block/mmcblk0p1,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p2,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p7,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p8,,,,0600,system,root,O,,,,,
/dev/bmm,,,,0660,media,media,O,,,,,
/dev/ccichar,,,,0640,radio,radio,O,,,,,
/dev/ccidatastub,,,,0660,system,system,O,,,,,
/dev/cctdatadev0,,,,0640,system,system,O,,,,,
/dev/cctdatadev1,,,,0660,radio,bluetooth,O,,,,,
/dev/cctdev*,,,,0660,system,system,O,,,,,
/dev/cidatatty*,,,,0640,radio,radio,O,,,,,
/dev/cidatatty1,,,,0660,radio,bluetooth,O,,,,,
/dev/citty*,,,,0660,radio,system,O,,,,,
/dev/cnm,,,,0660,media,media,O,,,,,
/dev/cpmem,,,,0660,system,root,O,,,,,
/dev/diag_dump,,,,0666,system,system,O,O,,,,
/dev/diagdatastub,,,,0660,system,system,O,,,,,
/dev/geu,,,,0660,media,system,O,,,,,
/dev/graphics/fb0,,,,0666,system,media,O,O,,,,
/dev/graphics/galcore,,,,0666,system,media,O,O,,,,
/dev/input/event*,,,,0666,root,input,O,O,,O,,
/dev/ion,,,,0666,system,graphics,O,O,,,,
/dev/ire,,,,0660,system,video,O,,,,,
/dev/mdtv*,,,,0660,system,system,O,,,,,
/dev/media0,,,,0660,root,camera,O,,,,,
/dev/msocket,,,,0666,system,system,O,O,,,,
/dev/msocket_dump,,,,0666,system,system,O,O,,,,
/dev/pmem_adsp,,,,0660,system,camera,O,,,,,
/dev/pmem_wc,,,,0660,system,camera,O,,,,,
/dev/radio0,,,,0660,system,system,O,,,,,
/dev/rfkill,,,,0660,system,wifi,O,,,,,
/dev/seh,,,,0660,system,system,O,,,,,
/dev/ttyS1,,,,0660,system,system,O,,,,,
/dev/ttyS2,,,,0600,system,system,O,,,,,
/dev/ttydiag*,,,,0660,system,system,O,,,,,
/dev/ttymodem*,,,,0660,system,system,O,,,,,
/dev/uio0,,,,0666,media,media,O,O,,,,
/dev/uio1,,,,0660,root,camera,O,,,,,
/dev/v4l-subdev0,,,,0660,root,camera,O,,,,,
/dev/v4l-subdev1,,,,0660,root,camera,O,,,,,
/dev/v4l-subdev2,,,,0660,root,camera,O,,,,,
/dev/v4l-subdev3,,,,0660,root,camera,O,,,,,
/dev/video0,,,,0660,media,camera,O,,,,,
/dev/video1,,,,0660,system,system,O,,,,,
/dev/video5,,,,0660,root,camera,O,,,,,
/dev/video6,,,,0660,root,camera,O,,,,,
/dev/video7,,,,0660,root,camera,O,,,,,
/dev/video8,,,,0660,root,camera,O,,,,,
