Galaxy Trend 2,GT-S7898,CHMChina,S7898ZMAMG1,4.1.2,19.07.2013,1319949,Unlock,CHM-S7898ZMAMG1-20130812170802.zip,http://hotfile.com/dl/239346033/9890984/CHM-S7898ZMAMG1-20130812170802.zip.html,00155
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/akm8975_dev,,,,0660,system,system,O,,,,,
/dev/al3006_pls,,,,0666,system,system,O,O,,,,
/dev/block/mmcblk0p11,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p13,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p14,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p15,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p16,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p7,,,,0660,system,system,O,,,,,
/dev/ecompass_ctrl,,,,0666,system,compass,O,O,,,,
/dev/gpsctl,,,,0660,system,system,O,,,,,
/dev/ion,,,,0664,system,audio,O,,,,,
/dev/lis3dh_acc,,,,0660,system,system,O,,,,,
/dev/mali,,,,0666,system,graphics,O,O,,,,
/dev/mdtv*,,,,0600,system,system,O,,,,,
/dev/mmc31xx,,,,0666,system,compass,O,O,,,,
/dev/mxc622x,,,,0666,system,input,O,O,,,,
/dev/mxdspidev,,,,0666,system,system,O,O,,,,
/dev/pts/*,,,,0660,system,system,O,,,,,
/dev/sprd_dcam,,,,0660,system,audio,O,,,,,
/dev/sprd_isp,,,,0660,system,audio,O,,,,,
/dev/sprd_rotation,,,,0660,system,audio,O,,,,,
/dev/sprd_scale,,,,0660,system,audio,O,,,,,
/dev/sprd_sensor,,,,0660,system,audio,O,,,,,
/dev/sprd_vsp,,,,0660,system,audio,O,,,,,
/dev/ttyHS0,,,,0600,bluetooth,bluetooth,O,,,,,
/dev/ttyNK3,,,,0660,radio,system,O,,,,,
/dev/ttyS2,,,,0660,system,system,O,,,,,
/dev/ttyVUART0,,,,0660,system,system,O,,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/vbpipe0,,,,0666,system,system,O,O,,,,
/dev/vbpipe1,,,,0660,system,system,O,,,,,
/dev/vbpipe2,,,,0666,system,system,O,O,,,,
/dev/vbpipe3,,,,0666,system,system,O,O,,,,
/dev/vbpipe6,,,,0660,media,audio,O,,,,,
/dev/video0,,,,0660,system,audio,O,,,,,
/dev/vser,,,,0660,system,system,O,,,,,
dev/ttyGS0,,,,0660,system,system,O,,,,,
