Galaxy Tab 3 10.1 (3G+WiFi),GT-P5200,CHNChina,P5200ZCUAMG4,4.2.2,29.07.2013,1216049,Unlock,CHN-P5200ZCUAMG4-20130829160704.zip,http://hotfile.com/dl/242262964/315b348/CHN-P5200ZCUAMG4-20130829160704.zip.html,00115
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/audience_es305,,,,0770,audio,audio,O,,,,,
/dev/block/mmcblk0p12,,,,0660,radio,radio,O,,,,,
/dev/gsmtty*,,,,0660,radio,system,O,,,,,
/dev/hci_tty,,,,0660,bluetooth,bluetooth,O,,,,,
/dev/intel_sst_ctrl,,,,0600,media,media,O,,,,,
/dev/matrix,,,,0640,root,diag,O,,,,,
/dev/mdmTrace,,,,0660,root,radio,O,,,,,
/dev/mdm_ctrl,,,,0660,root,radio,O,,,,,
/dev/media*,,,,0660,root,camera,O,,,,,
/dev/sep_sec_driver,,,,0660,radio,system,O,,,,,
/dev/ttyACM*,,,,0660,root,radio,O,,,,,
/dev/ttyIFX0,,,,0660,root,radio,O,,,,,
/dev/ttyMFD*,,,,0660,radio,system,O,,,,,
/dev/ttyPTI1,,,,0660,root,radio,O,,,,,
/dev/ttyUSB0,,,,0660,system,usb,O,,,,,
/dev/ttyUSB1,,,,0660,system,usb,O,,,,,
/dev/ttyUSB2,,,,0660,system,usb,O,,,,,
/dev/umts_csd,,,,0660,radio,system,O,,,,,
/dev/umts_router,,,,0660,radio,system,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/v4l-subdev*,,,,0660,root,camera,O,,,,,
/dev/video*,,,,0660,root,camera,O,,,,,
/dev/watchdog,,,,0600,system,system,O,,,,,
