Galaxy S 4 (Exynos Octa),GT-I9500,COBColombia (movistar),I9500UBUBMG1,4.2.2,02.07.2013,1002623,Unlock,COB-I9500UBUBMG1-20130829155208.zip,http://hotfile.com/dl/242275157/16365fc/COB-I9500UBUBMG1-20130829155208.zip.html,00056
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/block/mmcblk0p13,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p8,,,,0660,system,system,O,,,,,
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/hidraw*,,,,0660,root,system,O,,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/media0,,,,0660,system,camera,O,,,,,
/dev/media1,,,,0660,system,camera,O,,,,,
/dev/media2,,,,0660,media,media,O,,,,,
/dev/pvr_sync,,,,0666,system,graphics,O,O,,,,
/dev/pvrsrvkm,,,,0666,system,graphics,O,O,,,,
/dev/srp,,,,0660,system,audio,O,,,,,
/dev/ssp_sensorhub,,,,0660,system,system,O,,,,,
/dev/ttySAC*,,,,0660,root,system,O,,,,,
/dev/ttyUSB*,,,,0660,system,usb,O,,,,,
/dev/ump,,,,0666,system,system,O,O,,,,
/dev/umts*,,,,0660,system,radio,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/v4l-subdev*,,,,0660,system,system,O,,,,,
/dev/video11,,,,0660,media,media,O,,,,,
/dev/video12,,,,0660,media,media,O,,,,,
/dev/video13,,,,0660,media,media,O,,,,,
/dev/video14,,,,0660,media,media,O,,,,,
/dev/video16,,,,0660,system,audio,O,,,,,
/dev/video17,,,,0660,system,system,O,,,,,
/dev/video18,,,,0660,system,system,O,,,,,
/dev/video19,,,,0660,system,system,O,,,,,
/dev/video23,,,,0660,media,graphics,O,,,,,
/dev/video24,,,,0660,media,graphics,O,,,,,
/dev/video26,,,,0660,media,graphics,O,,,,,
/dev/video27,,,,0660,media,graphics,O,,,,,
/dev/video29,,,,0660,media,graphics,O,,,,,
/dev/video30,,,,0660,media,graphics,O,,,,,
/dev/video32,,,,0660,media,graphics,O,,,,,
/dev/video33,,,,0660,media,graphics,O,,,,,
/dev/video34,,,,0660,system,system,O,,,,,
/dev/video36,,,,0660,media,camera,O,,,,,
/dev/video37,,,,0660,media,camera,O,,,,,
/dev/video38,,,,0660,media,camera,O,,,,,
/dev/video40,,,,0660,media,media,O,,,,,
/dev/video41,,,,0660,media,media,O,,,,,
/dev/video42,,,,0660,media,media,O,,,,,
/dev/video43,,,,0660,media,media,O,,,,,
/dev/video44,,,,0660,media,media,O,,,,,
/dev/video45,,,,0660,media,media,O,,,,,
/dev/video46,,,,0660,media,media,O,,,,,
/dev/video47,,,,0660,media,media,O,,,,,
/dev/video48,,,,0660,media,media,O,,,,,
/dev/video6,,,,0660,media,media,O,,,,,
/dev/video7,,,,0660,media,media,O,,,,,
