Galaxy Grand Duos,GT-I9082,SERRussia,I9082XXUBMGA,4.2.2,29.07.2013,1226815,Unlock,SER-I9082XXUBMGA-20130808115759.zip,http://hotfile.com/dl/238403751/92a1449/SER-I9082XXUBMGA-20130808115759.zip.html,00020
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/ami_sensor,,,,0666,system,system,O,O,,,,
/dev/flightmode-opt,,,,0666,system,system,O,O,,,,
/dev/hdmi0,,,,0666,system,system,O,O,,,,
/dev/vc-cam,,,,0666,system,system,O,O,,,,
/dev/vc-cma,,,,0666,system,system,O,O,,,,
/dev/vc-dnfo,,,,0666,system,system,O,O,,,,
/dev/vc-hnfo,,,,0666,system,system,O,O,,,,
/dev/vc-mem,,,,0666,system,system,O,O,,,,
/dev/vc-omx,,,,0666,system,system,O,O,,,,
/dev/vchiq,,,,0666,system,system,O,O,,,,
/dev/vcsm,,,,0666,system,system,O,O,,,,
