Galaxy S 2 Plus,GT-I9105,SERRussia,I9105XXUBMH4,4.2.2,21.08.2013,1356917,Unlock,SER-I9105XXUBMH4-20130829164739.zip,http://hotfile.com/dl/242281924/001cdff/SER-I9105XXUBMH4-20130829164739.zip.html,00025
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/ami_sensor,,,,0666,system,system,O,O,,,,
/dev/block/mmcblk0p1,,,,0770,radio,system,O,,,,,
/dev/block/mmcblk0p11,,,,0660,system,root,O,,,,,
/dev/flightmode-opt,,,,0666,system,system,O,O,,,,
/dev/hdmi0,,,,0666,system,system,O,O,,,,
/dev/hidraw*,,,,0660,root,system,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/vc-cam,,,,0666,system,system,O,O,,,,
/dev/vc-cma,,,,0666,system,system,O,O,,,,
/dev/vc-dnfo,,,,0666,system,system,O,O,,,,
/dev/vc-hnfo,,,,0666,system,system,O,O,,,,
/dev/vc-lmk,,,,0644,system,system,O,,,,,
/dev/vc-mem,,,,0666,system,system,O,O,,,,
/dev/vc-omx,,,,0666,system,system,O,O,,,,
/dev/vchiq,,,,0666,system,system,O,O,,,,
/dev/vcsm,,,,0666,system,system,O,O,,,,
