Galaxy S 3 Mini,GT-I8190,MSTN/a,I8190XXALJL,4.1.1,24.10.2012,380934,Unlock,Samsung-Updates.com-GT-I8190_MST_1_20121112151236_cft8lw0fsr.zip,http://hotfile.com/dl/224113960/b67cfc2/Samsung-Updates.com-GT-I8190_MST_1_20121112151236_cft8lw0fsr.zip.html,00012
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/alps_io,,,,0660,root,system,O,,,,,
/dev/ape_opp,,,,0660,media,system,O,,,,,
/dev/b2r2_blt,,,,0666,system,graphics,O,O,,,,
/dev/block/mmcblk0p19,,,,0660,system,system,O,,,,,
/dev/camera_flash,,,,0660,media,system,O,,,,,
/dev/clone0,,,,0666,system,graphics,O,O,,,,
/dev/cm_channel,,,,0660,media,system,O,,,,,
/dev/cm_control,,,,0660,media,system,O,,,,,
/dev/cm_sia_trace,,,,0444,media,system,O,,,,,
/dev/cm_sva_trace,,,,0444,media,system,O,,,,,
/dev/comp0,,,,0666,system,graphics,O,O,,,,
/dev/comp1,,,,0666,system,graphics,O,O,,,,
/dev/ddr_opp,,,,0660,media,system,O,,,,,
/dev/disp0,,,,0666,system,graphics,O,O,,,,
/dev/dun,,,,0660,system,system,O,,,,,
/dev/hwmem,,,,0666,media,system,O,O,,,,
/dev/i2c-2,,,,0660,media,system,O,,,,,
/dev/mali,,,,0666,system,graphics,O,O,,,,
/dev/mmio_camera,,,,0660,media,system,O,,,,,
/dev/modemaudio,,,,0660,audio,audio,O,,,,,
/dev/rpc,,,,0600,radio,radio,O,,,,,
/dev/stm,,,,0660,media,system,O,,,,,
/dev/tee,,,,0666,root,system,O,O,,,,
