GT-I8258,GT-I8258,CHMChina,I8258ZMAMB1,4.0.4,05.02.2013,1201092,Unlock,Samsung-Updates.com-GT-I8258-CHM-I8258ZMAMB1-1360050674.zip,http://hotfile.com/dl/201962290/92dd31c/Samsung-Updates.com-GT-I8258-CHM-I8258ZMAMB1-1360050674.zip.html,00013
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/akm8975_dev,,,,0666,system,system,O,O,,,,
/dev/al3006_pls,,,,0666,system,system,O,O,,,,
/dev/block/mmcblk0p13,,,,0660,system,root,O,,,,,
/dev/block/mmcblk0p14,,,,0660,system,root,O,,,,,
/dev/block/mmcblk0p15,,,,0660,system,root,O,,,,,
/dev/block/mmcblk0p16,,,,0660,system,root,O,,,,,
/dev/block/mmcblk0p7,,,,0660,system,root,O,,,,,
/dev/ecompass_ctrl,,,,0666,system,compass,O,O,,,,
/dev/gpsctl,,,,0660,system,system,O,,,,,
/dev/lis3dh_acc,,,,0666,system,system,O,O,,,,
/dev/mali,,,,0666,system,graphics,O,O,,,,
/dev/mmc31xx,,,,0666,system,compass,O,O,,,,
/dev/mxc622x,,,,0666,system,input,O,O,,,,
/dev/pts/*,,,,0660,radio,radio,O,,,,,
/dev/sc8800g_2d,,,,0660,system,graphics,O,,,,,
/dev/sprd_dcam,,,,0660,system,graphics,O,,,,,
/dev/sprd_rotation,,,,0660,system,graphics,O,,,,,
/dev/sprd_scale,,,,0660,system,graphics,O,,,,,
/dev/sprd_vsp,,,,0660,system,audio,O,,,,,
/dev/ttyHS0,,,,0600,bluetooth,bluetooth,O,,,,,
/dev/ttyNK3,,,,0660,system,system,O,,,,,
/dev/ttyS1,,,,0660,system,system,O,,,,,
/dev/ttyS2,,,,0660,system,system,O,,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/vbpipe0,,,,0660,radio,radio,O,,,,,
/dev/vbpipe1,,,,0660,radio,radio,O,,,,,
/dev/vbpipe2,,,,0660,radio,radio,O,,,,,
/dev/vbpipe4,,,,0660,radio,radio,O,,,,,
/dev/vbpipe6,,,,0660,radio,radio,O,,,,,
/dev/vbpipe7,,,,0666,audio,audio,O,O,,,,
/dev/video0,,,,0660,system,graphics,O,,,,,
