Galaxy S 2,GT-I9100,TOPSerbia (vip srb),I9100XWLP7,4.0.3,03.04.2012,340913,Unlock,Samsung-Updates.com-GT-I9100_TOP_1_20120423161625_k4xf666ace.zip,http://hotfile.com/dl/181446436/a8752ec/Samsung-Updates.com-GT-I9100_TOP_1_20120423161625_k4xf666ace.zip.html,00023
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/CEC,,,,0666,system,system,O,O,,,,
/dev/HPD,,,,0666,system,system,O,O,,,,
/dev/exynos-mem,,,,0666,system,graphics,O,O,,,O
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/i2c-7,,,,0666,system,system,O,O,,,,
/dev/mali,,,,0666,system,system,O,O,,,,
/dev/s3c-mem,,,,0666,system,system,O,O,,,,
/dev/s3c-mfc,,,,0666,system,graphics,O,O,,,,
/dev/s5p-jpeg,,,,0666,system,camera,O,O,,,,
/dev/s5p-mfc,,,,0666,system,graphics,O,O,,,,
/dev/srp,,,,0666,system,audio,O,O,,,,
/dev/srp_ctrl,,,,0666,system,audio,O,O,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/video0,,,,0666,system,m2m,O,O,,,,
/dev/video1,,,,0666,system,camera,O,O,,,,
/dev/video14,,,,0666,system,system,O,O,,,,
/dev/video2,,,,0666,system,m2m,O,O,,,,
/dev/video21,,,,0666,system,system,O,O,,,,
/dev/video3,,,,0666,system,m2m,O,O,,,,
/dev/video4,,,,0666,system,m2m,O,O,,,,
