Galaxy R,GT-I9103,CWTN/a,I9103ZSLPD,4.0.4,27.09.2012,1066825,Unlock,Samsung-Updates.com-GT-I9103_CWT_1_20120928094826_fl24zz9xqb.zip,http://hotfile.com/dl/199258748/ead288c/Samsung-Updates.com-GT-I9103_CWT_1_20120928094826_fl24zz9xqb.zip.html,00024
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/akm8975,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p5,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p7,,,,0660,system,radio,O,,,,,
/dev/fmradio,,,,0660,system,audio,O,,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/knvmap,,,,0660,system,system,O,,,,,
/dev/link_pm,,,,0666,system,radio,O,O,,,,
/dev/nvmap,,,,0666,system,system,O,O,,,,
/dev/nvos,,,,0666,system,system,O,O,,,,
/dev/nvrm,,,,0666,system,system,O,O,,,,
/dev/s5k4ecgx,,,,0660,media,camera,O,,,,,
/dev/s5k6aafx,,,,0660,media,camera,O,,,,,
/dev/tegra_avp,,,,0660,media,media,O,,,,,
/dev/tegra_camera,,,,0660,media,camera,O,,,,,
/dev/tegra_dc*,,,,0660,system,system,O,,,,,
/dev/tegra_mediaserver,,,,0660,media,media,O,,,,,
/dev/tegra_rpc,,,,0660,media,media,O,,,,,
/dev/tegra_sema,,,,0660,media,media,O,,,,,
/dev/ttyACM*,,,,0660,radio,system,O,,,,,
/dev/ttyACM3,,,,0660,radio,log,O,,,,,
/dev/ttyHS0,,,,0660,root,system,O,,,,,
/dev/umts*,,,,0666,system,radio,O,O,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/usb_mtp_gadget,,,,0660,system,system,O,,,,,
