Galaxy S 2 Plus,GT-I9105,KSASaudi arabia,I9105XXAMC2,4.1.2,11.03.2013,1040387,Unlock,Samsung-Updates.com-GT-I9105-KSA-I9105XXAMC2-1363002980.zip,http://hotfile.com/dl/204436652/7fcb10e/Samsung-Updates.com-GT-I9105-KSA-I9105XXAMC2-1363002980.zip.html,00026
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/ami_sensor,,,,0666,system,system,O,O,,,,
/dev/block/mmcblk0p1,,,,0770,radio,system,O,,,,,
/dev/block/mmcblk0p11,,,,0660,system,root,O,,,,,
/dev/flightmode-opt,,,,0666,system,system,O,O,,,,
/dev/hdmi0,,,,0666,system,system,O,O,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/vc-cam,,,,0666,system,system,O,O,,,,
/dev/vc-cma,,,,0666,system,system,O,O,,,,
/dev/vc-dnfo,,,,0666,system,system,O,O,,,,
/dev/vc-hnfo,,,,0666,system,system,O,O,,,,
/dev/vc-lmk,,,,0666,system,system,O,O,,,,
/dev/vc-mem,,,,0666,system,system,O,O,,,,
/dev/vc-omx,,,,0666,system,system,O,O,,,,
/dev/vchiq,,,,0666,system,system,O,O,,,,
/dev/vcsm,,,,0666,system,system,O,O,,,,
