SCH-L710,SCH-L710,XARCellular south,L710WWALI6,4.0.4,13.09.2012,1106234,Unlock,Samsung-Updates.com-SCH-L710_XAR_1_20120915142708_ax27ebegbt.zip,http://hotfile.com/dl/176693278/c3e378e/Samsung-Updates.com-SCH-L710_XAR_1_20120915142708_ax27ebegbt.zip.html,00180
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/audience_a2220,,,,0660,system,audio,O,,,,,
/dev/block/mmcblk0p10,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p17,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p18,,,,0660,system,system,O,,,,,
/dev/btlock,,,,0664,bluetooth,system,O,,,,,
/dev/dun,,,,0660,system,system,O,,,,,
/dev/gemini0,,,,0660,system,camera,O,,,,,
/dev/genlock,,,,0666,root,root,O,O,,,,
/dev/hsicctl0,,,,0640,radio,radio,O,,,,,
/dev/hsicctl1,,,,0640,radio,radio,O,,,,,
/dev/hsicctl2,,,,0640,radio,radio,O,,,,,
/dev/hsicctl3,,,,0640,radio,radio,O,,,,,
/dev/i2c-0,,,,0664,root,system,O,,,,,
/dev/i2c-1,,,,0664,root,system,O,,,,,
/dev/i2c-2,,,,0664,root,system,O,,,,,
/dev/i2c-4,,,,0664,root,system,O,,,,,
/dev/ion,,,,0664,system,system,O,,,,,
/dev/kgsl-2d0,,,,0666,root,root,O,O,,,,
/dev/kgsl-2d1,,,,0666,root,root,O,O,,,,
/dev/kgsl-3d0,,,,0666,root,root,O,O,,,,
/dev/mdm,,,,0660,system,system,O,,,,,
/dev/msm_a2dp_in,,,,0640,system,audio,O,,,,,
/dev/msm_aac,,,,0660,system,audio,O,,,,,
/dev/msm_aac_in,,,,0660,system,audio,O,,,,,
/dev/msm_acdb,,,,0660,system,audio,O,,,,,
/dev/msm_amrnb,,,,0660,system,audio,O,,,,,
/dev/msm_amrnb_in,,,,0640,system,audio,O,,,,,
/dev/msm_amrwb,,,,0660,system,audio,O,,,,,
/dev/msm_dsps,,,,0660,system,system,O,,,,,
/dev/msm_evrc,,,,0660,system,audio,O,,,,,
/dev/msm_evrc_in,,,,0660,system,audio,O,,,,,
/dev/msm_fm,,,,0660,system,audio,O,,,,,
/dev/msm_multi_aac,,,,0660,system,audio,O,,,,,
/dev/msm_mvs,,,,0660,system,audio,O,,,,,
/dev/msm_pcm_lp_dec,,,,0660,system,audio,O,,,,,
/dev/msm_preproc_ctl,,,,0660,system,audio,O,,,,,
/dev/msm_qcelp,,,,0660,system,audio,O,,,,,
/dev/msm_qcelp_in,,,,0660,system,audio,O,,,,,
/dev/msm_rotator,,,,0660,system,graphics,O,,,,,
/dev/msm_rtac,,,,0660,system,audio,O,,,,,
/dev/msm_vidc_dec,,,,0660,system,audio,O,,,,,
/dev/msm_vidc_dec_sec,,,,0660,system,audio,O,,,,,
/dev/msm_vidc_enc,,,,0660,system,audio,O,,,,,
/dev/msm_vidc_reg,,,,0660,system,audio,O,,,,,
/dev/msm_voicememo,,,,0660,system,audio,O,,,,,
/dev/msm_wma,,,,0660,system,audio,O,,,,,
/dev/msm_wmapro,,,,0660,system,audio,O,,,,,
/dev/pmem_audio,,,,0660,system,audio,O,,,,,
/dev/pmem_smipool*,,,,0660,system,camera,O,,,,,
/dev/qce,,,,0660,system,drmrpc,O,,,,,
/dev/qseecom,,,,0660,system,drmrpc,O,,,,,
/dev/radio0,,,,0644,fm_radio,fm_radio,O,,,,,
/dev/rfcomm0,,,,0660,bluetooth,bluetooth,O,,,,,
/dev/rmnet_mux_ctrl,,,,0640,radio,radio,O,,,,,
/dev/rtc0,,,,0600,system,system,O,,,,,
/dev/sdio_tty_ciq_00,,,,0660,system,system,O,,,,,
/dev/sdioctl0,,,,0640,radio,radio,O,,,,,
/dev/sdioctl1,,,,0640,radio,radio,O,,,,,
/dev/sdioctl2,,,,0640,radio,radio,O,,,,,
/dev/sdioctl3,,,,0640,radio,radio,O,,,,,
/dev/sdioctl4,,,,0640,radio,radio,O,,,,,
/dev/sdioctl5,,,,0640,radio,radio,O,,,,,
/dev/sdioctl6,,,,0640,radio,radio,O,,,,,
/dev/sdioctl7,,,,0640,radio,radio,O,,,,,
/dev/sdioctl8,,,,0640,radio,radio,O,,,,,
/dev/smd2,,,,0660,bluetooth,bluetooth,O,,,,,
/dev/smd3,,,,0660,bluetooth,bluetooth,O,,,,,
/dev/smd4,,,,0660,system,system,O,,,,,
/dev/smd7,,,,0640,radio,radio,O,,,,,
/dev/smdcntl0,,,,0640,radio,radio,O,,,,,
/dev/smdcntl1,,,,0640,radio,radio,O,,,,,
/dev/smdcntl2,,,,0640,radio,radio,O,,,,,
/dev/smdcntl3,,,,0640,radio,radio,O,,,,,
/dev/smdcntl4,,,,0640,radio,radio,O,,,,,
/dev/smdcntl5,,,,0640,radio,radio,O,,,,,
/dev/smdcntl6,,,,0640,radio,radio,O,,,,,
/dev/smdcntl7,,,,0640,radio,radio,O,,,,,
/dev/tspdrv,,,,0666,root,root,O,O,,,,
/dev/ttyHS0,,,,0600,bluetooth,bluetooth,O,,,,,
/dev/ttyHSL0,,,,0660,radio,system,O,,,,,
/dev/ttyHSL1,,,,0660,system,system,O,,,,,
/dev/ttyUSB0,,,,0666,system,system,O,O,,,,
/dev/tty_sdio_00,,,,0660,system,system,O,,,,,
/dev/tzcom,,,,0660,system,drmrpc,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/video*,,,,0660,system,camera,O,,,,,
