Galaxy S III LTE (AT&T),SGH-I747,ATTAt&t,I747UCDLK3,4.1.1,15.11.2012,274808,Unlock,Samsung-Updates.com-SGH-I747_ATT_1_20121116120521_7p9l4qgqoh.zip,http://hotfile.com/dl/182224582/7adbccf/Samsung-Updates.com-SGH-I747_ATT_1_20121116120521_7p9l4qgqoh.zip.html,00198
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/audience_a2220,,,,0660,system,audio,O,,,,,
/dev/block/mmcblk0p10,,,,0660,system,system,O,,,,,
/dev/dun,,,,0660,system,system,O,,,,,
/dev/gemini/,,,,0660,system,camera,O,,,,,
/dev/gemini0,,,,0660,system,camera,O,,,,,
/dev/genlock,,,,0666,root,root,O,O,,,,
/dev/gss,,,,0660,gps,gps,O,,,,,
/dev/hsicctl0,,,,0640,radio,radio,O,,,,,
/dev/hsicctl1,,,,0640,radio,radio,O,,,,,
/dev/hsicctl2,,,,0640,radio,radio,O,,,,,
/dev/hsicctl3,,,,0640,radio,radio,O,,,,,
/dev/hw_random,,,,0660,system,system,O,,,,,
/dev/i2c-5,,,,0660,media,media,O,,,,,
/dev/ion,,,,0664,system,system,O,,,,,
/dev/kgsl-2d0,,,,0666,root,root,O,O,,,,
/dev/kgsl-2d1,,,,0666,root,root,O,O,,,,
/dev/kgsl-3d0,,,,0666,root,root,O,O,,,,
/dev/mdm,,,,0660,system,system,O,,,,,
/dev/media*,,,,0660,system,camera,O,,,,,
/dev/msm_aac,,,,0660,system,audio,O,,,,,
/dev/msm_aac_in,,,,0660,system,audio,O,,,,,
/dev/msm_acdb,,,,0660,system,audio,O,,,,,
/dev/msm_amrnb,,,,0660,system,audio,O,,,,,
/dev/msm_amrnb_in,,,,0640,system,audio,O,,,,,
/dev/msm_amrwb,,,,0660,system,audio,O,,,,,
/dev/msm_evrc,,,,0660,system,audio,O,,,,,
/dev/msm_evrc_in,,,,0660,system,audio,O,,,,,
/dev/msm_fm,,,,0660,system,audio,O,,,,,
/dev/msm_multi_aac,,,,0660,system,audio,O,,,,,
/dev/msm_mvs,,,,0660,system,audio,O,,,,,
/dev/msm_pcm_lp_dec,,,,0660,system,audio,O,,,,,
/dev/msm_preproc_ctl,,,,0660,system,audio,O,,,,,
/dev/msm_qcelp,,,,0660,system,audio,O,,,,,
/dev/msm_qcelp_in,,,,0660,system,audio,O,,,,,
/dev/msm_rotator,,,,0664,system,system,O,,,,,
/dev/msm_rtac,,,,0660,system,audio,O,,,,,
/dev/msm_vidc_dec,,,,0660,system,audio,O,,,,,
/dev/msm_vidc_dec_sec,,,,0660,system,audio,O,,,,,
/dev/msm_vidc_enc,,,,0660,system,audio,O,,,,,
/dev/msm_vidc_reg,,,,0660,system,audio,O,,,,,
/dev/msm_voicememo,,,,0660,system,audio,O,,,,,
/dev/msm_wma,,,,0660,system,audio,O,,,,,
/dev/msm_wmapro,,,,0660,system,audio,O,,,,,
/dev/pmem_audio,,,,0660,system,audio,O,,,,,
/dev/qseecom,,,,0660,system,drmrpc,O,,,,,
/dev/radio0,,,,0644,fm_radio,fm_radio,O,,,,,
/dev/ramdump_kernel_log,,,,0600,system,system,O,,,,,
/dev/ramdump_modem_fw,,,,0600,system,system,O,,,,,
/dev/ramdump_modem_sw,,,,0600,system,system,O,,,,,
/dev/ramdump_smem,,,,0600,system,system,O,,,,,
/dev/rfcomm0,,,,0660,bluetooth,bluetooth,O,,,,,
/dev/rmnet_mux_ctrl,,,,0640,radio,radio,O,,,,,
/dev/rtc0,,,,0600,system,system,O,,,,,
/dev/sdio_tty_ciq_00,,,,0660,system,system,O,,,,,
/dev/sdioctl0,,,,0640,radio,radio,O,,,,,
/dev/sdioctl1,,,,0640,radio,radio,O,,,,,
/dev/sdioctl2,,,,0640,radio,radio,O,,,,,
/dev/sdioctl3,,,,0640,radio,radio,O,,,,,
/dev/sdioctl4,,,,0640,radio,radio,O,,,,,
/dev/sdioctl5,,,,0640,radio,radio,O,,,,,
/dev/sdioctl6,,,,0640,radio,radio,O,,,,,
/dev/sdioctl7,,,,0640,radio,radio,O,,,,,
/dev/sdioctl8,,,,0640,radio,radio,O,,,,,
/dev/smd2,,,,0660,bluetooth,bluetooth,O,,,,,
/dev/smd3,,,,0660,bluetooth,bluetooth,O,,,,,
/dev/smd4,,,,0660,system,system,O,,,,,
/dev/smd7,,,,0660,bluetooth,bluetooth,O,,,,,
/dev/smdcntl0,,,,0640,radio,radio,O,,,,,
/dev/smdcntl1,,,,0640,radio,radio,O,,,,,
/dev/smdcntl2,,,,0640,radio,radio,O,,,,,
/dev/smdcntl3,,,,0640,radio,radio,O,,,,,
/dev/smdcntl4,,,,0640,radio,radio,O,,,,,
/dev/smdcntl5,,,,0640,radio,radio,O,,,,,
/dev/smdcntl6,,,,0640,radio,radio,O,,,,,
/dev/smdcntl7,,,,0640,radio,radio,O,,,,,
/dev/smuxctl32,,,,0640,radio,radio,O,,,,,
/dev/ttyHSL0,,,,0660,radio,system,O,,,,,
/dev/ttyHSL1,,,,0660,system,system,O,,,,,
/dev/ttyUSB0,,,,0666,system,system,O,O,,,,
/dev/tty_sdio_00,,,,0660,system,system,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/v4l-subdev*,,,,0660,system,camera,O,,,,,
/dev/video*,,,,0660,system,camera,O,,,,,
