Captivate Glide (AT&T),SGH-I927,ATTAt&t,I927UCLJ3,4.0.4,11.10.2012,970642,Unlock,Samsung-Updates.com-SGH-I927_ATT_1_20121012193857_0if3dkz78d.zip,http://hotfile.com/dl/178973969/d1aa35d/Samsung-Updates.com-SGH-I927_ATT_1_20121012193857_0if3dkz78d.zip.html,00202
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/akm8975,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p5,,,,0660,system,radio,O,,,,,
/dev/block/mmcblk0p7,,,,0660,system,radio,O,,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/knvmap,,,,0660,system,system,O,,,,,
/dev/m5mo,,,,0660,media,camera,O,,,,,
/dev/nvmap,,,,0666,system,system,O,O,,,,
/dev/nvos,,,,0666,system,system,O,O,,,,
/dev/nvrm,,,,0666,system,system,O,O,,,,
/dev/s5k6aafx,,,,0660,media,camera,O,,,,,
/dev/spdif*,,,,0660,system,audio,O,,,,,
/dev/tegra_avp,,,,0660,media,media,O,,,,,
/dev/tegra_camera,,,,0660,media,camera,O,,,,,
/dev/tegra_dc*,,,,0660,system,system,O,,,,,
/dev/tegra_mediaserver,,,,0660,media,media,O,,,,,
/dev/tegra_rpc,,,,0660,media,media,O,,,,,
/dev/tegra_sema,,,,0660,media,media,O,,,,,
/dev/ttyACM*,,,,0660,radio,system,O,,,,,
/dev/ttyACM3,,,,0660,radio,log,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/usb_mtp_gadget,,,,0660,system,system,O,,,,,
