SGH-T859,SGH-T859,TMBUsa (t-mobile),T859UVLH6,4.0.4,27.08.2012,1025272,Unlock,Samsung-Updates.com-SGH-T859_TMB_1_20120829154725_5w6teayx37.zip,http://hotfile.com/dl/178281969/9ba4294/Samsung-Updates.com-SGH-T859_TMB_1_20120829154725_5w6teayx37.zip.html,00209
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/akm8975,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0,,,,0640,root,radio,O,,,,,
/dev/block/mmcblk0p6,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p7,,,,0660,system,radio,O,,,,,
/dev/camera*,,,,0660,media,camera,O,,,,,
/dev/focuser*,,,,0660,media,camera,O,,,,,
/dev/knvmap,,,,0660,system,system,O,,,,,
/dev/link_pm,,,,0660,system,radio,O,,,,,
/dev/nvhdcp0,,,,0666,system,system,O,O,,,,
/dev/nvhdcp1,,,,0666,system,system,O,O,,,,
/dev/nvmap,,,,0666,system,system,O,O,,,,
/dev/s5k5bbgx,,,,0660,media,camera,O,,,,,
/dev/s5k5ccgx,,,,0660,media,camera,O,,,,,
/dev/spdif*,,,,0660,system,audio,O,,,,,
/dev/storage,,,,0660,system,radio,O,,,,,
/dev/tegra_avp,,,,0660,media,media,O,,,,,
/dev/tegra_camera,,,,0660,media,camera,O,,,,,
/dev/tegra_dc*,,,,0660,system,system,O,,,,,
/dev/tegra_mediaserver,,,,0660,media,media,O,,,,,
/dev/tegra_rpc,,,,0660,media,media,O,,,,,
/dev/tegra_sema,,,,0660,media,media,O,,,,,
/dev/torch*,,,,0660,media,camera,O,,,,,
/dev/ttyACM*,,,,0660,radio,system,O,,,,,
/dev/umts*,,,,0660,system,radio,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/usb_mtp_gadget,,,,0660,system,system,O,,,,,
/dev/video0,,,,0660,media,camera,O,,,,,
/dev/video1,,,,0660,media,camera,O,,,,,
