Galaxy S 2 Epic 4G Touch,SPH-D710,SPRU.s. (spint),SPH-D710.FL24,4.0.4,24.12.2012,1173404,Unlock,Samsung-Updates.com-SPH-D710-SPR-SPH-D710.FL24-1356354294.zip,http://hotfile.com/dl/195008237/f62ed0a/Samsung-Updates.com-SPH-D710-SPR-SPH-D710.FL24-1356354294.zip.html,00228
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/CEC,,,,0666,system,system,O,O,,,,
/dev/HPD,,,,0666,system,system,O,O,,,,
/dev/exynos-mem,,,,0666,system,graphics,O,O,,,O
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/i2c-7,,,,0666,system,system,O,O,,,,
/dev/mali,,,,0666,system,system,O,O,,,,
/dev/s3c-mem,,,,0666,system,system,O,O,,,,
/dev/s3c-mfc,,,,0666,system,graphics,O,O,,,,
/dev/s5p-jpeg,,,,0666,system,camera,O,O,,,,
/dev/s5p-mfc,,,,0666,system,graphics,O,O,,,,
/dev/srp,,,,0666,system,audio,O,O,,,,
/dev/srp_ctrl,,,,0666,system,audio,O,O,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/video0,,,,0666,system,m2m,O,O,,,,
/dev/video1,,,,0666,system,camera,O,O,,,,
/dev/video2,,,,0666,system,m2m,O,O,,,,
/dev/video3,,,,0666,system,m2m,O,O,,,,
/dev/video4,,,,0666,system,m2m,O,O,,,,
