Galaxy Pocket Neo,GT-S5310,THLThailand,S5310DXAMG2,4.1.2,24.07.2013,1325990,Unlock,THL-S5310DXAMG2-20130819114228.zip,http://hotfile.com/dl/240410008/6fc7277/THL-S5310DXAMG2-20130819114228.zip.html,00137
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/accelerometer,,,,0660,system,system,O,,,,,
/dev/akm8973,,,,0660,system,system,O,,,,,
/dev/bcm_isp,,,,0660,system,camera,O,,,,,
/dev/bcm_unicam,,,,0660,system,camera,O,,,,,
/dev/block/mmcblk0p11,,,,0660,system,root,O,,,,,
/dev/block/mmcblk0p18,,,,0770,radio,system,O,,,,,
/dev/block/mtdblock5,,,,0660,radio,radio,O,,,,,
/dev/bralloc_mem,,,,0666,system,graphics,O,O,,,,
/dev/i2c-0,,,,0660,system,camera,O,,,,,
/dev/i2c-1,,,,0660,system,camera,O,,,,,
/dev/i2c-2,,,,0660,system,camera,O,,,,,
/dev/modem_ctl,,,,0660,radio,radio,O,,,,,
/dev/modem_fmt,,,,0660,radio,radio,O,,,,,
/dev/modem_rfs,,,,0660,radio,radio,O,,,,,
/dev/mtd/mtd5ro,,,,0660,radio,radio,O,,,,,
/dev/pvrsrvkm,,,,0666,system,system,O,O,,,,
/dev/s3c-jpg,,,,0660,system,camera,O,,,,,
/dev/s3c-mem,,,,0660,system,system,O,,,,,
/dev/s3c-mfc,,,,0660,system,graphics,O,,,,,
/dev/s3c2410_serial1,,,,0600,gps,gps,O,,,,,
/dev/s3c2410_serial3,,,,0660,radio,radio,O,,,,,
/dev/v3d,,,,0666,system,graphics,O,O,,,,
/dev/vce,,,,0666,system,graphics,O,O,,,,
/dev/video0,,,,0660,system,camera,O,,,,,
/dev/video1,,,,0660,system,camera,O,,,,,
/dev/video2,,,,0660,system,camera,O,,,,,
