Samsung HomeSync,GT-B9150,XARCellular south,B9150UEUBMG1,4.2.2,09.07.2013,1053963,Unlock,XAR-B9150UEUBMG1-20130712161247.zip,http://hotfile.com/dl/234742969/16f8222/XAR-B9150UEUBMG1-20130712161247.zip.html,00008
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/CEC,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p8,,,,0660,system,system,O,,,,,
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/hidraw*,,,,0660,root,system,O,,,,,
/dev/ion,,,,0666,system,system,O,O,,,,
/dev/mali0,,,,0666,system,system,O,O,,,,
/dev/media0,,,,0660,system,system,O,,,,,
/dev/media1,,,,0660,system,camera,O,,,,,
/dev/media2,,,,0660,system,camera,O,,,,,
/dev/s5p-smem,,,,0660,system,system,O,,,,,
/dev/ump,,,,0666,system,system,O,O,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/v4l-subdev*,,,,0660,system,system,O,,,,,
/dev/video11,,,,0660,system,graphics,O,,,,,
/dev/video12,,,,0660,system,camera,O,,,,,
/dev/video16,,,,0660,system,system,O,,,,,
/dev/video17,,,,0660,system,system,O,,,,,
/dev/video18,,,,0660,system,system,O,,,,,
/dev/video19,,,,0660,system,system,O,,,,,
/dev/video23,,,,0660,system,system,O,,,,,
/dev/video24,,,,0660,system,system,O,,,,,
/dev/video25,,,,0660,system,camera,O,,,,,
/dev/video26,,,,0660,media,graphics,O,,,,,
/dev/video27,,,,0660,media,graphics,O,,,,,
/dev/video29,,,,0660,media,graphics,O,,,,,
/dev/video30,,,,0660,media,graphics,O,,,,,
/dev/video32,,,,0660,media,graphics,O,,,,,
/dev/video33,,,,0660,system,system,O,,,,,
/dev/video34,,,,0660,system,system,O,,,,,
/dev/video6,,,,0660,media,graphics,O,,,,,
/dev/video7,,,,0660,media,graphics,O,,,,,
